===============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 19/05/26
===============================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
19/05/26       TELEFONICA  PUT   Dic-26             3,40    30.000             65.260          
19/05/26       TELEFONICA  PUT   Jun-26             3,90    15.000             15.391          
19/05/26       BBVA        CALL  Ago-26             20,00   11.500             11.500          
19/05/26       BBVA        PUT   Ago-26             18,00   11.500             11.500          
19/05/26       IBERDROLA   PUT   Jun-26             18,00   10.000             22.041          
19/05/26       IBERDROLA   PUT   Jun-26             19,00   10.000             58.015          
19/05/26       BBVA        CALL  Jun-28             22,00   4.300              4.450           
19/05/26       BBVA        PUT   Jun-28             19,00   4.300              4.450           
19/05/26       BBVA        PUT   Dic-28             12,00   3.500              3.500           
19/05/26       AMADEUS     CALL  Ago-26             60,00   1.192              1.192           
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
Generado: 20/05/2026 20:39
