=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 27/08/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
27/08/26       SANTANDER  PUT   Mar-28             9,00    12.54  3.000              3.150           
27/08/26       BBVA       PUT   Sep-26             24,50   24.66  250                150             
27/08/26       ENDESA     CALL  Jun-27             54,00   41.76  155                155             
27/08/26       ENDESA     CALL  Jun-27             56,00   41.76  150                255             
27/08/26       IAG        PUT   Dic-26             3,80    5.09   150                151             
27/08/26       BBVA       PUT   Sep-26             24,00   24.66  150                183             
27/08/26       INDITEX    CALL  Nov-26             65,78   57.70  100                100             
27/08/26       SACYR      CALL  Nov-26             4,50    4.31   80                 80              
27/08/26       FERROVIAL  CALL  Sep-26             50,00   50.66  31                 56              
27/08/26       SANTANDER  PUT   Oct-26             12,00   12.54  30                 32              
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 28/08/2026 14:50
