=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 11/09/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
11/09/26       TELEFONICA    CALL  Oct-26             3,70    3.65    15.000             15.038          
11/09/26       BBVA          CALL  Jun-27             27,00   25.41   3.000              3.012           
11/09/26       REPSOL        PUT   Dic-26             28,00   28.92   764                824             
11/09/26       IAG           PUT   Oct-26             4,80    4.89    200                400             
11/09/26       INDITEX       PUT   Mar-27             50,31   54.02   70                 102             
11/09/26       NATURGY       CALL  Jun-27             30,00   29.48   67                 134             
11/09/26       MINI IBEX-35  PUT   Sep-26             19.850  19,838  53                 157             
11/09/26       GRIFOLS       CALL  Jun-27             12,50   9.82    50                 708             
11/09/26       MINI IBEX-35  PUT   Oct-26             16.900  19,838  50                 150             
11/09/26       REPSOL        CALL  Oct-26             30,00   28.92   25                 200             
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 12/09/2026 07:39
